media_id,status,amount
61499,DROPPED,2043
61499,PAUSED,1925
85825,CURRENT,264
85825,PLANNING,739
85825,COMPLETED,592
85825,DROPPED,103
85825,PAUSED,77
20728,CURRENT,900
20728,PLANNING,5045
20728,COMPLETED,26079
20728,DROPPED,332
20728,PAUSED,664
18897,CURRENT,7497
18897,PLANNING,44262
18897,COMPLETED,135081
18897,DROPPED,6769
18897,PAUSED,4871
20876,CURRENT,3401
20876,PLANNING,17718
20876,COMPLETED,99739
20876,DROPPED,2428
20876,PAUSED,1793
119947,CURRENT,203
119947,PLANNING,2966
119947,COMPLETED,11843
119947,DROPPED,63
119947,PAUSED,119
106495,CURRENT,140
106495,PLANNING,2982
106495,COMPLETED,6776
106495,DROPPED,75
106495,PAUSED,74
5081,CURRENT,13215
5081,PLANNING,64114
5081,COMPLETED,153044
5081,DROPPED,7317
5081,PAUSED,11173
54499,CURRENT,29
54499,PLANNING,437
54499,COMPLETED,318
54499,DROPPED,8
54499,PAUSED,22
15689,CURRENT,1705
15689,PLANNING,20006
15689,COMPLETED,93193
15689,DROPPED,425
15689,PAUSED,823
21400,CURRENT,1291
21400,PLANNING,23474
21400,COMPLETED,81213
21400,DROPPED,253
21400,PAUSED,443
143701,CURRENT,164
143701,PLANNING,1000
143701,COMPLETED,1933
143701,DROPPED,9
143701,PAUSED,25
9260,CURRENT,1611
9260,PLANNING,32154
9260,COMPLETED,86400
9260,DROPPED,315
9260,PAUSED,582
21399,CURRENT,1208
21399,PLANNING,20927
21399,COMPLETED,82215
21399,DROPPED,212
21399,PAUSED,385
44893,CURRENT,2312
44893,PLANNING,7338
44893,COMPLETED,4096
44893,DROPPED,221
44893,PAUSED,965
101311,CURRENT,5849
101311,PLANNING,6811
101311,COMPLETED,673
101311,DROPPED,536
101311,PAUSED,1522
143663,CURRENT,46
143663,PLANNING,632
143663,COMPLETED,2705
143663,DROPPED,17
143663,PAUSED,10
143704,CURRENT,50
143704,PLANNING,699
143704,COMPLETED,1051
143704,DROPPED,3
143704,PAUSED,15
53751,CURRENT,359
53751,PLANNING,3729
53751,COMPLETED,2090
53751,DROPPED,21
53751,PAUSED,130
17074,CURRENT,6975
17074,PLANNING,31621
17074,COMPLETED,87785
17074,DROPPED,1311
17074,PAUSED,4344
143720,CURRENT,54
143720,PLANNING,647
143720,COMPLETED,817
143720,DROPPED,6
143720,PAUSED,8
143721,CURRENT,46
143721,PLANNING,653
143721,COMPLETED,754
143721,DROPPED,4
143721,PAUSED,10
20593,CURRENT,1745
20593,PLANNING,22176
20593,COMPLETED,69862
20593,DROPPED,395
20593,PAUSED,901
100815,CURRENT,1557
100815,PLANNING,23522
100815,COMPLETED,37911
100815,DROPPED,237
100815,PAUSED,620
21745,CURRENT,2209
21745,PLANNING,35355
21745,COMPLETED,54418
21745,DROPPED,447
21745,PAUSED,905
